Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub-Location,Facility Type,Agency,Latitude,Longitude
16,KILIFI DISTRICT HOSPITAL,565,COAST,KILIFI,BAHARI,KILIFI TOWNSHIP,HOSPITALKILIFI,1,MOH,-3.63205,39.85722
30,ST. LUKE'S KALOLENI HOSPITAL,2938,COAST,KILIFI,KALOLENI,KALOLENI,KALOLENI/VISH/TSAKA,1,MISS,-3.8166,39.6334
12,KINANGO SUB-DISTRICT HOSPITAL,609,COAST,KWALE,KINANGO,KINANGO,KINANGO,1,MOH,-4.13986,39.3132
14,KWALE SUB-DISTRICT HOSPITAL,610,COAST,KWALE,MATUGA,GOLINI,GOLINI,1,MOH,-4.17514,39.456
36,MSAMBWENI DISTRICT HOSPITAL,611,COAST,KWALE,MSAMBWENI,MSAMBWENI,VINGUJINI,1,MOH,-4.48007,39.4708
12,LAMU DISTRICT HOSPITAL,631,COAST,LAMU,AMU,SHELLA MANDA,SHELLALAMU,1,MOH,-2.27857,40.906769
21,MUKOWE HOSPITAL,0,COAST,LAMU,HINDI,MOKOWE,MOKOWE,1,MOH,-2.234325,40.860674
6,GALANA HOSPITAL,564,COAST,MALINDI,MALINDI,MALINDI,SABAKI,1,MISS,-3.197483,40.116335
15,MALINDI DISTRICT HOSPITAL,566,COAST,MALINDI,MALINDI,MALINDI,BARANI,1,MOH,-3.2165,40.1182
26,TAWFIQ MUSLIM HOSPITAL,2940,COAST,MALINDI,MALINDI,MALINDI,SHELLAMALINDI,1,MISS,-3.220937,40.112698
49,PORT REITZ DISTRICT HOSPITAL,700,COAST,MOMBASA,CHANGAMWE,PORT REITZ,PORT REITZ,1,MOH,-4.039267,39.602867
59,UKUMBUSHO CPK HOSP,702,COAST,MOMBASA,ISLAND,GANJONI,KIZINGOMOMBASA,1,MISS,-4.068035,39.68143
19,MOI VOI DISTRICT HOSPITAL,739,COAST,TAITA TAVETA,VOI,VOI,KALOLENITAVETA,1,MOH,-3.39091,38.56205
34,TAVETA DISTRICT HOSPITAL,740,COAST,TAITA TAVETA,TAVETA,BOMANI,MBOGHONI,1,MOH,-3.3987,37.67725
37,WESU DISTRICT HOSPITAL,741,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,WUNDANYI,1,MOH,-3.40885,38.342159
15,HOLA DISTRICT HOSPITAL,795,COAST,TANA RIVER,GALORE,KIARIKUNGU,KIARIKUNGU,1,MOH,-1.4988,40.030251
44,NGAO SUB-DISTRICT HOSPITAL,796,COAST,TANA RIVER,GARSEN,KIPAO,KIPAO,1,MOH,-2.41221,40.201099
1,CHAARIA MISSION HOSP,3043,EASTERN,CENTRAL MERU,ABOTHUGUCHI EAST,NDURUMA,GAITU,1,MISS,0.006292,37.7684
3,CONSOLATA NKUBU MISS. HOSPITAL,1182,EASTERN,CENTRAL MERU,NKUENE,NKUENE,KATHERACMERU,1,MISS,-0.068017,37.6622
16,GITHONGO SUB DISTRICT HOSPITAL,1167,EASTERN,CENTRAL MERU,ABOTHUGUCHI WEST,GITHONGO EAST,KARUGWA,1,MOH,-0.005739,37.6215
19,IGOJI MISSION HOSPITAL,1184,EASTERN,CENTRAL MERU,IGOJI,IGOJI,KUIRI,1,MISS,-0.193799,37.6652
37,KIRUA COTTAGE HOSPITAL,2399,EASTERN,CENTRAL MERU,BUURI,KIIRUA,KIIRUA,1,MISS,0.130399,37.5638
46,MERU DISTRICT HOSPITAL,1181,EASTERN,CENTRAL MERU,MIRIGA MIERU WEST,MUNICIPALITY,KAAGA2,1,MOH,0.060928,37.6641
30,CONSOLATA HOSPITAL KYENI,4261,EASTERN,EMBU,KYENI,KYENI SOUTH,KATHANJURI,1,MISS,-0.417376,37.5968
39,RUNYENJES SUB-DISTRICT HOSPITAL,842,EASTERN,EMBU,RUNYENJES,RUNYENJES TOWN,KIGAA,1,MOH,-0.424635,37.5698
11,ISIOLO DISTRICT HOSPITAL,873,EASTERN,ISIOLO,CENTRAL,CENTRAL,KAMPI ODHA,1,MOH,0.3751,37.5812
24,KITUI DISTRICT HOSPITAL,930,EASTERN,KITUI,CENTRAL,TOWNSHIP,TOWNSHIPKITUI,1,MOH,-1.3666,38.0163
38,MUTHALE MISS HOSPITAL,3092,EASTERN,KITUI,KABATI,MUTONGUNI,KAIMU,1,MISS,-1.17637,37.9969
42,MUTOMO MISS HOSPITAL,902,EASTERN,KITUI,MUTOMO,MUTOMO,KANDAE,1,MISS,-1.85566,38.1961
1,BISHOP U. KIOKO CATHOLIC HOSPITAL,0,EASTERN,MACHAKOS,CENTRAL,MASAKU,EASTLEIGH,1,MISS,-1.51643,37.26928
3,FRANCISCAN CONVENT HOSPITAL,3890,EASTERN,MACHAKOS,KANGUNDO,KANGUNDO,MAIUNI,1,MISS,-1.298303,37.359084
17,KANGUNDO HOSPITAL,1037,EASTERN,MACHAKOS,KANGUNDO,KANGUNDO,ISINGA,1,MOH,-1.28944,37.3445
23,KATHIANI HOSPITAL,1038,EASTERN,MACHAKOS,KATHIANI,KATHIANI,KATHIANIMACHAKOS,1,MOH,-1.41667,37.3291
49,MACHAKOS DISTRICT HOSPITAL,1040,EASTERN,MACHAKOS,CENTRAL,MUMBUNI,UPPER KIANDANI,1,MOH,-1.502321,37.263232
0,MOTHER OF MERCY CATHOLIC MISSION HOSP,0,EASTERN,MACHAKOS,,,,1,MISS,-1.7041,37.35278
88,TALA SDA HOSPITAL,3418,EASTERN,MACHAKOS,MATUNGULU,TALA,KYAUME,1,MISS,-1.266418,37.321387
24,KIKOKO MISSION HOSPITAL,1039,EASTERN,MAKUENI,KILUNGU,KIKOKO,KALONGO,1,MISS,-1.80375,37.39525
43,MAKINDU SUB-DISTRICT HOSPITAL,1041,EASTERN,MAKUENI,MAKINDU,MAKINDU,MANYATTAMAKUENI,1,MOH,-2.28127,37.82413
45,MAKUENI DISTRICT HOSPITAL,1042,EASTERN,MAKUENI,WOTE,WOTE,UNOA,1,MOH,-1.78103,37.62703
53,MBOONI  SDH,1028,EASTERN,MAKUENI,MBOONI,MBOONI,MUTITUMAKUENI,1,MOH,-1.65649,37.45319
72,NUNGUNI SDH,1031,EASTERN,MAKUENI,KILUNGU,KITHEMBE,NDUUMAKUENI,1,MOH,-1.78343,37.35991
15,"LAISAMIS MISS. HOSPITAL, DIOCESE OF MARSABIT",1067,EASTERN,MARSABIT,LAISAMIS,LAISAMIS,LAISAMIS,1,MISS,1.6001,37.8004
21,MARSABIT DISTRICT HOSPITAL,1068,EASTERN,MARSABIT,CENTRAL,NAGAYO,MAJENGOMARSABIT,1,MOH,2.324839,37.985249
5,ISHIARA SUB-DISTRICT HOSPITAL,841,EASTERN,MBEERE,EVURORE,ISHIARA,EVURORE,1,MOH,-0.452179,37.7833
22,MBEERE DISTRICT HOSP,843,EASTERN,MBEERE,SIAKAGO,NTHAWA,SIAKAGO,1,MOH,-0.575225,37.640991
51,MWEA COTTAGE HOSPITAL,0,EASTERN,MBEERE,MWEA,MAKIMA,MWEA,1,MISS,-0.75,37.48
7,MOYALE DISTRICT HOSPITAL,1069,EASTERN,MOYALE,CENTRAL,BUTIYE,BUTIYE,1,MOH,3.499712,39.026077
8,SOLOLO MISS. HOSPITAL,1070,EASTERN,MOYALE,OBBU,SOLOLO MAKUTANO,SOLOLO MAKUTANO,1,MISS,3.288957,38.672035
18,KYUSO SUB-DISTRICT HOSP,4204,EASTERN,MWINGI,KYUSO,KIMANGAO,KIMANGAO,1,MOH,-0.53231,38.16232
20,MIGWANI SUB-DISTRICT HOSP,923,EASTERN,MWINGI,MIGWANI,MIGWANI,KALILUNIMWINGI,1,MOH,-1.08919,38.0062
24,MWINGI DISTRICT HOSPITAL,932,EASTERN,MWINGI,CENTRAL,MWINGI,KYANIKAMWINGI,1,MOH,-0.9334,38.0673
19,MAUA METHODIST HOSPITAL,1180,EASTERN,NORTH MERU,IGEMBE CENTRAL,MAUA,KAIBU,1,MISS,0.2332,37.9335
22,MIATHENE SUB-DISTRICT HOSPITAL,1172,EASTERN,NORTH MERU,TIGANIA WEST,MIATHENE,MIATHENE,1,MOH,0.14875,37.7912
23,MIKINDURI COTTAGE HOSPITAL,0,EASTERN,NORTH MERU,TIGANIA CENTRAL,MIKINDURI WEST,ANJUKI,1,MISS,0.126174,37.834147
33,NYAMBENE DISTRICT HOSPITAL,4423,EASTERN,NORTH MERU,IGEMBE CENTRAL,MAUA,KAIBU,1,MOH,0.242123,37.93232
36,TIGANIA CATHOLIC HOSPITAL,1183,EASTERN,NORTH MERU,TIGANIA NORTH,MUTHARA,ATHANJA,1,MISS,0.20715,37.783821
1,CHUKA CONSOLATA COTTAGE HOSPITAL,1166,EASTERN,SOUTH MERU,CHUKA,KIANG'ONDU,KIANG'ONDU,1,MISS,-0.32926,37.648978
2,CHUKA HOSPITAL,1179,EASTERN,SOUTH MERU,CHUKA,KIANG'ONDU,KIANG'ONDU,1,MOH,-0.32748,37.645496
34,MAGUTUNI SUB-DISTRICT HOSPITAL,1126,EASTERN,SOUTH MERU,MWIMBI,KIERA,MAGUTUNI,1,MOH,-0.23523,37.751235
47,P.C.E.A. CHOGORIA MISS. HOSP,1178,EASTERN,SOUTH MERU,MWIMBI,CHOGORIA,CHOGORIA,1,MISS,-0.21121,37.6065
11,MATIRI MISSION HOSPITAL,3556,EASTERN,THARAKA,SOUTH THARAKA,CHIAKARIGA,CHIAKARIGA,1,MISS,-0.31234,37.91243
9,THARAKA DISTRICT HOSPITAL,1170,EASTERN,THARAKA,CENTRAL THARAKA,MARIMANTI,KIRANGARE,1,MOH,-0.16,37.97
8,DAGAHALEY HOSPITAL,2512,N. EASTERN,GARISSA,DADAAB,DAGAHALEY,DAGAHALEYGARISSA,1,MISS,0.150541,40.342856
12,HAGADERA HOSPITAL,2513,N. EASTERN,GARISSA,JARAJILA,WELMERER,WELMERER,1,MISS,0.01613,40.371544
15,IFO HOSPITAL,2511,N. EASTERN,GARISSA,DADAAB,DADAAB,DADAAB,1,MISS,0.07,40.32
12,MANDERA DISTRICT HOSPITAL,1215,N. EASTERN,MANDERA,CENTRAL,BULLA JAMHURIA,BULLA POWER,1,MOH,3.954424,41.861814
26,WAJIR DISTRICT HOSPITAL,1231,N. EASTERN,WAJIR,GRIFTU,KUKALA,KUKALA,1,MOH,1.6909,40.0396
33,GETRUDES GARDENS CHILDREN'S HOSPITAL,151,NAIROBI,NAIROBI,WESTLANDS,HIGHRIDGE,MUTHAIGA,1,MISS,-1.253175,36.830249
84,MATER MISERICORDIAE HOSPITAL,159,NAIROBI,NAIROBI,MAKADARA,MUKURU NYAYO,NAIROBI SOUTH,1,MISS,-1.305393,36.833478
87,MATHARI MENTAL HOSPITAL,160,NAIROBI,NAIROBI,CENTRAL,MATHARE,MATHARE,1,MOH,-1.259489,36.844302
88,MBAGATHI DISTRICT HOSPITAL,154,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,GOLF COURSE,1,MOH,-1.307925,36.802242
3,ARO COMMUNITY HOSP.,0,NYANZA,BONDO,BONDO,NORTH SAKWA,BAR CHANDO,1,NGO,-0.06953,34.35579
4,BONDO DISTRICT HOSPITAL,1367,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,NYAWITABONDO,1,MOH,-0.09021,34.2745
25,ST. ELIZABETH LWAK MISS. HOSPITAL,0,NYANZA,BONDO,RARIEDA,CENTRAL ASEMBO,MEMBA,1,MISS,-0.13782,34.35698
23,OGEMBO DISTRICT HOSPITAL,1261,NYANZA,GUCHA,OGEMBO,MAJOGE CHACHE,NYANSAKIA,1,MOH,-0.793983,34.725517
28,TABAKA MISSION HOSPITAL,1266,NYANZA,GUCHA,NYAMARAMBE,S. MUGIRANGO CHACHE,TABAKA,1,MISS,-0.744517,34.6665
5,HOMA BAY DISTRICT HOSPITAL,1470,NYANZA,HOMA BAY,ASEGO,HOMA BAY TOWN,TOWNHOMABAY,1,MOH,-0.52474,34.4599
13,MANYATTA S D A HOSPITAL,3128,NYANZA,HOMA BAY,RANGWE,EAST KAGAN,KOMENYA,1,MISS,-0.4932,34.6169
3,GESUSU SUB DISTRICT HOSPITAL,3769,NYANZA,KISII CENTRAL,MASABA,NYARIBARI MASABA,GESUSU,1,MOH,-0.8712,34.9087
9,KEUMBU SUB DISTRICT HOSPITAL,1257,NYANZA,KISII CENTRAL,KEUMBU,KEUMBU,NYAMWARE,1,MOH,-0.731217,34.8467
12,KISII DISTRICT HOSPITAL,1265,NYANZA,KISII CENTRAL,TOWNSHIP,TOWNSHIP,TOWNSHIPKISII,1,MOH,-0.66815,34.7704
21,KIBIRIGO MISS HOSPITAL,0,NYANZA,KISII NORTH,RIGOMA,GESIMA,RIAMONI,1,MISS,-0.693,34.975
37,NYAMIRA DISTRICT HOSPITAL,1512,NYANZA,KISII NORTH,RIGOMA,GESIMA,NYATIENO,1,MOH,-0.67554,34.9414
14,KISUMU DISTRICT HOSPITAL,1330,NYANZA,KISUMU,WINAM,TOWNSHIP,SOUTHERN,1,MOH,-0.105021,34.7606
16,LUMUMBA HOSPITAL,1317,NYANZA,KISUMU,WINAM,WEST KOLWA,NYALENDA 'A',1,MISS,-0.116,34.7817
18,MASENO MISS. HOSPITAL,1327,NYANZA,KISUMU,MASENO,N.W. KISUMU,EAST KARATENG,1,MISS,0.00348,34.61018
36,ST. MONICAS HOSPITAL KISUMU,0,NYANZA,KISUMU,WINAM,WEST KAJULU,KONYA,1,MISS,-0.0422,34.76971
38,VICTORIA HOSPITAL,1331,NYANZA,KISUMU,WINAM,WEST KOLWA,NYALENDA 'B',1,MOH,-0.117106,34.7576
9,KEHANCHA DISTRICT HOSPITAL,1444,NYANZA,KURIA,KEGONGA,MAETA,NYAITARA,1,MOH,-1.1765,34.6338
29,MIGORI DISTRICT HOSPITAL,1451,NYANZA,MIGORI,SUBA EAST,SUNA RAGANA,MARINDI,1,MOH,-1.06321,34.4694
57,ST. JOSEPH OMBO HOSPITAL,2459,NYANZA,MIGORI,SUBA WEST,SUNA SOUTH,SAGERO,1,MISS,-1.08333,34.4333
1,AHERO HOSPITAL,1316,NYANZA,NYANDO,NYANDO,KAKOLA,TURANYANDO,1,MOH,-0.165363,34.9234
19,MUHORONI SUB-DISTRICT HOSP.,1339,NYANZA,NYANDO,MUHORONI,GOD NYITHINDO,OREGO,1,MOH,-0.154993,35.1889
20,NYABONDO MISS. HOSPITAL,1329,NYANZA,NYANDO,UPPER NYAKACH,SOUTH NYAKACH,EAST KADIANG'A,1,MISS,-0.37815,34.97882
30,PAP ONDITI HOSP,1324,NYANZA,NYANDO,LOWER NYAKACH,PAP ONDITI,KABODHO EAST,1,MOH,-0.313172,34.9355
6,GENDIA MISSION HOSPITAL,0,NYANZA,RACHUONYO,EAST KARACHUONYO,NORTH KARACHUONYO,KAKWAJUOK UPPER,1,MISS,-0.400901,34.6635
12,KENDU BAY MISS. HOSPITAL,1471,NYANZA,RACHUONYO,EAST KARACHUONYO,NORTH EAST KARACHUON,KONYANGO MAJIERI,1,MISS,-0.36543,34.6481
13,KENDU SUB-DISTRICT HOSPITAL,1445,NYANZA,RACHUONYO,EAST KARACHUONYO,NORTH EAST KARACHUON,KONYANGO MAJIERI,1,MOH,-0.36046,34.6335
33,OYUGIS DISTRICT HOSPITAL,1457,NYANZA,RACHUONYO,KASIPUL,WEST KAMAGAK,KAMUMA,1,MOH,-0.4921,34.7295
29,RANGALA MISSION HOSPITAL,1377,NYANZA,SIAYA,UGUNJA,SOUTH UGENYA,RANGALA,1,MISS,0.15529,34.33179
33,SEGA MISSION HOSPITAL,1371,NYANZA,SIAYA,UKWALA,NORTH UGENYA,SEGASIAYA,1,MISS,0.25934,34.22549
34,SIAYA DISTRICT HOSPITAL,1379,NYANZA,SIAYA,KAREMO,TOWNSHIP,MULAHA,1,MOH,0.063129,34.2839
64,RAGIA HEALTH CENTRE,2449,CENTRAL,KIAMBU,LARI,KAMAE,KAMAE,3,MOH,-0.791728,36.6759
44,YALA SUB-DISTRICT HOSPITAL,1384,NYANZA,SIAYA,YALA,YALA TOWNSHIP,SAURI,1,MOH,0.101019,34.5375
3,KISEGI SUB-DISTRICT HOSPITAL,357,NYANZA,SUBA,GWASSI,GWASSI NORTH,UTERERE,1,MOH,-0.63123,34.08234
15,SINDO RHDC  AGG. SUBA DISTRICT HOSPITAL,1474,NYANZA,SUBA,CENTRAL,KAKSINGRI WEST,RANGWA EAST,1,MOH,-0.541249,34.1658
20,"TOM MBOYA MEMORIAL DISTRICT HOSP, MBITA",1467,NYANZA,SUBA,MBITA,RUSINGA WEST,KASWANGA,1,MOH,-0.40123,34.17231
15,KABARNET DISTRICT HOSPITAL,1988,RIFT VALLEY,BARINGO,KABARNET,KABARNET MOSOP,KEWAMOI,1,MOH,0.4951,35.735
19,KAPEDO SUB-DISTRICT HOSPITAL,0,RIFT VALLEY,BARINGO,NGINYANG,RIBKWO,KAPEDO WEST,1,MOH,1.159,36.0901
21,LONGISA DISTRICT HOSPITAL,1624,RIFT VALLEY,BOMET,LONGISA,CHEBOIN,SAMITUK,1,MOH,-0.85793,35.38941
34,SIGOR SUB-DISTRICT HOSPITAL,1670,RIFT VALLEY,BOMET,SIGOR,SIGOR,SIGOR,1,MOH,-0.918919,35.2973
42,TENWEK MISS. HOSPITAL,1683,RIFT VALLEY,BOMET,BOMET CENTRAL,SINGORWET,AISAK,1,MISS,-0.71221,35.3317
6,CHEPTALAL SUB-DISRICT HOSPITAL,1577,RIFT VALLEY,BURET,KONOIN,CHEPTALAL,TOBOINO,1,MOH,-0.610343,35.3878
9,KAPKATET DISTRICT HOSPITAL,6176,RIFT VALLEY,BURET,BURET,KAPKATET,ITOIK,1,MOH,-0.62738,35.19319
10,KAPLONG CATHOLIC HOSPITAL,1679,RIFT VALLEY,BURET,SOTIK,CHEMAGEL,KAPLONG,1,MISS,-0.67435,35.1384
19,LITEIN AIC HOSPITAL,1681,RIFT VALLEY,BURET,BURET,LITEIN,LITEIN,1,MISS,-0.576894,35.1853
30,KAJIADO DISTRICT HOSPITAL,1553,RIFT VALLEY,KAJIADO,CENTRAL,TOWNSHIP,HOSPITALKAJIADO,1,MOH,-1.8526,36.7832
36,LOITOKITOK SUB-DISTRICT HOSP,1554,RIFT VALLEY,KAJIADO,LOITOKITOK,KUKU,LOOLOPON,1,MOH,-2.9356,37.5549
6,ITEN DISTRICT HOSPITAL,2042,RIFT VALLEY,KEIYO,KAMARINY,IRONG,ITEN TOWNSHIP,1,MOH,0.6743,35.5058
16,KAPTARAKWA SUB-DISTRICT HOSP,2040,RIFT VALLEY,KEIYO,CHEPKORIO,KAPTARAKWA,KAPTARAKWA,1,MOH,0.469086,35.5439
26,KARIRA HOSPITAL,391,CENTRAL,KIRINYAGA,,,,1,MISS,0.00E+00,0.00E+00
26,M.E.W.A  HOSPITAL,4471,COAST,MOMBASA,,,,1,MISS,0.00E+00,0.00E+00
38,OMBO MISSION HOSPITAL,0,NYANZA,MIGORI,,,,1,MISS,0.00E+00,0.00E+00
28,KOCHOLWO SUB-DISTRICT HOSP,3501,RIFT VALLEY,KEIYO,CHEPKORIO,TUMEIYO,CHEPKOSOM,1,MOH,0.26232,35.55123
43,TAMBACH SUB-DISTRICT HOSPITAL,2044,RIFT VALLEY,KEIYO,TAMBACH,KIPTUILONG,KAPTERIK,1,MOH,0.6,35.5163
21,KERICHO DISTRICT HOSPITAL,1680,RIFT VALLEY,KERICHO,AINAMOI,TOWNSHIP,TOWNSHIPKERICHO,1,MOH,-0.36896,35.27941
27,KIPCHIMCHIM MISSION HOSPITAL,1666,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,KIPCHIMCHIM,1,MISS,-0.325202,35.266
37,LONDIANI SUB-DISTRICT HOSPITAL,1682,RIFT VALLEY,KERICHO,LONDIANI,LONDIANI,CHEPKONGONYKERI,1,MOH,-0.158796,35.5893
47,SIGOWET NYAYO HOSPITAL,1671,RIFT VALLEY,KERICHO,SIGOWET,KEBENETI,SIGOWET,1,MOH,-0.388777,35.0476
70,WANGIGE HEALTH CENTRE,249,CENTRAL,KIAMBU,KIKUYU,NYATHUNA,KARURAKIKUYU,3,MOH,-1.21737,36.7261
6,ELDAMA RAVINE DISTRICT HOSPITAL,1982,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,LEMBUS CENTRAL,POROR/ARAMA,1,MOH,0.05,35.7167
16,MERCY HOSPITAL,1990,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,ELDAMA RAVINE,1,MISS,0.044839,35.7363
26,NANYUKI DISTRICT HOSPITAL,1713,RIFT VALLEY,LAIKIPIA,CENTRAL,NANYUKI,MAJENGOLAIKIPIA,1,MOH,0.019,37.0709
26,KAPSOWAR AIC  HOSPITAL,2043,RIFT VALLEY,MARAKWET,KAPSOWAR,KAPSOWAR,KAPSOWAR,1,MISS,0.981081,35.560811
15,ELBURGON HOSPITAL,1764,RIFT VALLEY,NAKURU,ELBURGON,ELBURGON,ELBURGON,1,MOH,-0.30325,35.80739
19,GILGIL HOSPITAL,1790,RIFT VALLEY,NAKURU,GILGIL,GILGIL,GILGIL,1,MOH,-0.50339,36.32343
61,MOLO HOSPITAL,1781,RIFT VALLEY,NAKURU,MOLO,MOLO,MOLO,1,MOH,-0.24499,35.74045
67,NAIVASHA DISTRICT HOSPITAL,1782,RIFT VALLEY,NAKURU,NAIVASHA,NAIVASHA TOWN,SOKONINAKURU,1,MOH,-0.71633,36.43753
13,KAIBOI HOSPITAL,2088,RIFT VALLEY,NANDI,KABIYET,LOLKERINGET,KAIBOI,1,MISS,0.42375,35.0155
20,KAPSABET DISTRICT HOSP.,2096,RIFT VALLEY,NANDI,KAPSABET,KAPSABET,TOWNSHIPKAPSABET,1,MOH,0.2028,35.0954
40,KOBUJOI HOSPITAL,2094,RIFT VALLEY,NANDI,ALDAI,MUGEN,KAMIMEI,1,MISS,0.0646,34.9257
50,NANDI HILLS SUB-DIST HOSP,2097,RIFT VALLEY,NANDI,NANDI HILLS,NANDI HILLS,KIPSAMOO,1,MOH,0.1172,35.1831
34,NAROK DISTRICT HOSPITAL,1838,RIFT VALLEY,NAROK,CENTRAL,LOWER MELILI,NAROK TOWN,1,MOH,-1.0961,35.8636
4,BARAGOI SUB-DISTRICT HOSPITAL,2123,RIFT VALLEY,SAMBURU,BARAGOI,BARAGOI,BARAGOI,1,MOH,1.79106,36.788
18,MARALAL DISTRICT HOSPITAL,2126,RIFT VALLEY,SAMBURU,KIRISIA,MARALAL TOWN,MARALAL TOWN,1,MOH,1.1478,36.677
41,WAMBA HOSPITAL,2127,RIFT VALLEY,SAMBURU,WAMBA,WAMBA,WAMBA TOWN,1,MISS,0.98333,37.3167
16,KILGORIS DIST HOSP/TRANSMARA DIST HOSP,1828,RIFT VALLEY,TRANS MARA,KILGORIS,OLOLCHANI,KILGORIS,1,MOH,-1.00212,34.8789
