Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub-Location,Facility Type,Agency,Latitude,Longitude
20,"TOM MBOYA MEMORIAL DISTRICT HOSP, MBITA",1467,NYANZA,SUBA,MBITA,RUSINGA WEST,KASWANGA,1,MOH,-0.40123,34.17231
10,KAPIYO DISP,4250,NYANZA,BONDO,BONDO,S.W. SAKWA,UTONGA,4,MOH,-0.08601,34.17491
30,RATUORO DISP,2464,NYANZA,SIAYA,BORO,S.CENTRAL ALEGO,KADENGE,4,MOH,0.03116,34.178541
42,UKWALA HEALTH CENTRE,1373,NYANZA,SIAYA,UKWALA,UKWALA,DOHO-EAST,3,MOH,0.2078,34.1808
62,WATH ONGER DISP,1436,NYANZA,MIGORI,NYATIKE,SOUTH KADEM,W. KANYARWANDA,4,MOH,-0.956398,34.1859
32,RWAMBWA H C,1360,NYANZA,SIAYA,UKWALA,UKWALA,DOHO-EAST,3,MOH,0.196039,34.188548
27,RABAR DISP,1358,NYANZA,SIAYA,URANGA,WEST ALEGO,KOMENYA KOWALA,4,MOH,0.152112,34.190021
6,BUMULA 'A' HEALTH CENTRE,0,WESTERN,BUSIA,BUTULA,BUMALA,BUKHAKHALA,3,MOH,0.30231,34.1914
43,OTHOTHRAKUOM DISP,3575,NYANZA,MIGORI,NYATIKE,SOUTH KADEM,C. KANYARWANDA,4,MOH,-0.995204,34.1944
9,BUSIBWABU DISPENSARY,0,WESTERN,BUSIA,MATAYOS,BUSIBWABO,NAKHAKINA,4,MOH,0.41086,34.201223
7,MBITA HEALTH CENTRE,1450,NYANZA,SUBA,MBITA,GEMBE WEST,MBITA TOWNSHIP,3,MOH,-0.467294,34.2043
4,BORO DISP,1345,NYANZA,SIAYA,BORO,CENTRAL ALEGO,OJWANDO 'A',4,MOH,0.0671,34.2052
8,KADENGE RATUORO DISP,4245,NYANZA,SIAYA,BORO,S.CENTRAL ALEGO,OBAMBO,4,MOH,0.0375,34.2103
2,KIGWA DISP,4123,NYANZA,SUBA,GWASSI,GWASSI EAST,KIBWER,4,MOH,-0.63123,34.21112
37,OLASI DISP,4543,NYANZA,MIGORI,NYATIKE,KALER,OLASI,4,MOH,-1.08044,34.2112
11,LUKOLIS DISP,2246,WESTERN,TESO,AMUKURA,AREMIT,ODIOYI,4,MOH,0.602941,34.226504
6,BWARE DISP,1391,NYANZA,MIGORI,NYATIKE,NORTH KADEM,MAGUNGU,4,MOH,-0.866402,34.2302
10,NYS DISP,1418,NYANZA,SUBA,CENTRAL,RUMA,NYADENDA,4,MOH,-0.62321,34.24123
12,LIGEGA DISP,2468,NYANZA,SIAYA,UKWALA,N.EAST UGENYA,LIGEGA,4,MOH,0.2119,34.244
13,OBEKAI DISP,3272,WESTERN,TESO,AMUKURA,KALIWA,KALIWATESO,4,MOH,0.508603,34.246637
1,AGENGA SUB-HEALTH CENTRE,1378,NYANZA,MIGORI,NYATIKE,CENTRAL KADEM,E. KANYUOR,3,MOH,-0.935185,34.2474
8,NYADENDA DISP,1121,NYANZA,SUBA,CENTRAL,RUMA,NYADENDA,4,MOH,-0.58124,34.25123
12,PONGE DISP,3938,NYANZA,SUBA,MBITA,GEMBE CENTRAL,KAMRERI WEST,4,MOH,-0.54123,34.25231
3,GOT KOJOWI H C,385,NYANZA,HOMA BAY,NYARONGI,EAST KWAMBWAI,KAWANGA,3,MOH,-0.752199,34.2553
8,KAGWA DISP,2649,NYANZA,BONDO,MADIANY,WEST UYOMA,KAGWABONDO,4,MOH,-0.22851,34.25665
15,KHUNYANGU H C,2256,WESTERN,BUSIA,BUTULA,MARACHI CENTRAL,KINGANDOLE,3,MOH,0.33769,34.25793
21,NYARONGI DISP,686,NYANZA,HOMA BAY,NYARONGI,WEST KWAMBWAI,KASIRIME,4,MOH,-0.75899,34.26434
3,AMBIRA DISP,1344,NYANZA,SIAYA,UGUNJA,CENTRAL UGENYA,AMBIRA,4,MOH,0.1894,34.2644
32,NDIWA DISP,1408,NYANZA,MIGORI,NYATIKE,NORTH KADEM,BALA,4,MOH,-0.884373,34.2712
4,BONDO DISTRICT HOSPITAL,1367,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,NYAWITABONDO,1,MOH,-0.09021,34.2745
15,MANYUANDA HEALTH CENTRE,1350,NYANZA,BONDO,MADIANY,WEST UYOMA,KOKWIRI,3,MOH,-0.25252,34.27609
2,ANYUONGI DISP,0,NYANZA,BONDO,BONDO,SOUTH SAKWA,EAST MIGWENA,4,MOH,-0.17618,34.27613
17,MISORI DISP,4251,NYANZA,BONDO,MADIANY,WEST UYOMA,NYABERABONDO,4,MOH,-0.31856,34.278
2,AMUKURA H C,0,WESTERN,TESO,AMUKURA,AMUKURA,AMUKURA,3,MOH,0.569002,34.283452
34,SIAYA DISTRICT HOSPITAL,1379,NYANZA,SIAYA,KAREMO,TOWNSHIP,MULAHA,1,MOH,0.063129,34.2839
5,GOBEI DISP,2467,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,NYAWITABONDO,4,MOH,-0.09021,34.2905
16,MASALA DISP,3839,NYANZA,BONDO,MADIANY,CENTRAL UYOMA,MASALA,4,MOH,-0.20811,34.292727
20,NYAGOKO DISP,35,NYANZA,BONDO,RARIEDA,SOUTH ASEMBO,NYAGOKO,4,MOH,-0.17535,34.29557
19,MALANGA DISP,2946,WESTERN,BUSIA,BUTULA,ELUGULU,MUKHWESOBUSIA,4,MOH,0.403823,34.296672
25,MACALDER HEALTH CENTRE,1447,NYANZA,MIGORI,NYATIKE,SOUTH EAST KADEM,NYATIKE,3,MOH,-0.969037,34.2996
9,LAMBWE FOREST DISP,1399,NYANZA,HOMA BAY,NDHIWA,WEST KANYAMWA,KAYAMBO,4,MOH,-0.67757,34.307
18,NAYA DISP,1353,NYANZA,BONDO,MADIANY,SOUTH UYOMA,NAYA,4,MOH,-0.36255,34.3121
11,BWALIRO DISPENSARY,0,WESTERN,BUSIA,BUTULA,ELUGULU,BWALIRO,4,MOH,0.378245,34.316199
4,KITARE HEALTH CENTRE,1397,NYANZA,SUBA,MBITA,GEMBE EAST,KAYANJA,3,MOH,-0.48212,34.32213
39,ONGITO  DISP,4815,NYANZA,MIGORI,NYATIKE,SOUTH EAST KADEM,OWICHMIGORI,4,MOH,-0.9324,34.3223
11,MADIANY HEALTH CENTRE,1368,NYANZA,BONDO,MADIANY,EAST UYOMA,WEST KATWENG'A,3,MOH,-0.28134,34.3224
41,TING'WANG'I DISP,1363,NYANZA,SIAYA,KAREMO,SOUTH ALEGO,BAR DING,4,MOH,0.0141,34.3286
17,NDHIWA H C,1455,NYANZA,HOMA BAY,NDHIWA,WEST KANYAMWA,KWAMO,3,MOH,-0.732657,34.3322
12,MODING HEALTH CENTRE,2259,WESTERN,TESO,ANGURAI,MODING,ADUMAI,3,MOH,0.761435,34.334208
1,AKCHELIST GSU CAMP DISP,4263,WESTERN,TESO,ANGURAI,KAKAPEL,KAKAPEL,4,MOH,0.684173,34.335414
13,MAHAYA DISP,0,NYANZA,BONDO,RARIEDA,WEST  ASEMBO,MAHAYA,4,MOH,-0.16223,34.34066
11,KOGELO DISP,2466,NYANZA,SIAYA,KAREMO,S.E.ALEGO,NYANGOMA,4,MOH,-0.0145,34.3429
8,KOCHOLIA HEALTH CENTRE,2257,WESTERN,TESO,AMAGORO,KOCHOLIA,KOCHOLIA,3,MOH,0.620794,34.346269
17,MADENDE DISP,2944,WESTERN,BUSIA,NAMBALE,BUKHAYO EAST,MUNGATSI,4,MOH,0.47665,34.346518
11,OGONGO HEALTH CENTRE,1420,NYANZA,SUBA,LAMBWE,LAMBWE WEST,OGONGO,3,MOH,-0.58123,34.35123
42,OTHORO DISP,1294,NYANZA,MIGORI,URIRI,WEST KANYAMKAGO,KAJULU II,4,MOH,-0.9423,34.3521
16,LUPINDA HEALTH CENTRE,0,WESTERN,BUSIA,NAMBALE,BUKHAYO NORTH,LUPIDA,3,MOH,0.577132,34.352575
30,RAPETH DISP,4465,NYANZA,HOMA BAY,NYARONGI,CENTRAL KANYIDOTO,SOUTH KAGANDA,4,MOH,-0.76837,34.35348
5,BUMALA ' B ' H C,2254,WESTERN,BUSIA,BUTULA,ELUKHARI,BUKATI,3,MOH,0.35675,34.3574
13,IGARA DISP,2945,WESTERN,BUSIA,NAMBALE,WALATSI,KHWIRALE,4,MOH,0.532938,34.363148
36,SIGOMER HEALTH CENTRE,1372,NYANZA,SIAYA,UGUNJA,EAST UHOLO,SIGOMRE,3,MOH,0.1963,34.3645
4,ANGURAI H C,2253,WESTERN,TESO,ANGURAI,ANGURAI,CHELELEMUK,3,MOH,0.707111,34.364965
26,OYARO DISP,3578,NYANZA,HOMA BAY,NDHIWA,WEST KANYAMWA,KAYAMBO,4,MOH,-0.72574,34.36588
52,SIBUOCHE DISP,4488,NYANZA,MIGORI,URIRI,WEST KANYAMKAGO,KAJULU II,4,MOH,-0.969737,34.3673
34,NYAMARAGA DISP,4487,NYANZA,MIGORI,SUBA WEST,SUNA WASIMBETE,NYAMARAGA,4,MOH,-1.1323,34.3712
37,SIKALAME DISP,1361,NYANZA,SIAYA,UKWALA,EAST UGENYA,KATHIENO 'C',4,MOH,0.2965,34.3714
24,USAO DISP,6145,NYANZA,SUBA,MBITA,GEMBE EAST,USAO,4,MOH,-0.460573,34.3754
22,ONGIELO DISP,1357,NYANZA,BONDO,RARIEDA,EAST ASEMBO,OMIA MALO,4,MOH,-0.16875,34.377777
40,TINGARE DISP,1362,NYANZA,SIAYA,UGUNJA,NORTH UHOLO,TINGARE EAST,4,MOH,0.2588,34.3857
17,NDERE HEALTH CENTRE,1369,NYANZA,SIAYA,YALA,NORTH GEM,NDERE,3,MOH,0.1385,34.3857
14,KHAYO DISP,4474,WESTERN,BUSIA,NAMBALE,BUKHAYO EAST,MADIBO,4,MOH,0.51051,34.388972
12,MALELA DISP,1100,NYANZA,HOMA BAY,NDHIWA,NORTH KANYAMWA,KAKAETA,4,MOH,-0.58486,34.39193
49,LOKICHOGIO DISTRICT HOSPITAL,0,RIFT VALLEY,TURKANA,LOKICHOGGIO,MOGILA,MOGILA,1,MOH,4.18101,34.3924
20,LUNGANYIRO DISP,3859,WESTERN,BUTERE/MUMIAS,MATUNGU,KOYONZO,LUNG'ANYIRO,4,MOH,0.432603,34.3924
5,DIENYA DISP,2463,NYANZA,SIAYA,WAGAI,WEST GEM,DIENYA W,4,MOH,0.0008,34.3969
23,SARADIDI HEALTH CENTRE,1385,NYANZA,BONDO,RARIEDA,CENTRAL ASEMBO,MEMBA,3,MOH,-0.11288,34.39692
6,BUNGATSI HEALTH CENTRE,2305,WESTERN,BUTERE/MUMIAS,MUMIAS,ETENJE,BUNGASI,3,MOH,0.199465,34.399191
38,SIREMBE HEALTH CENTRE,0,NYANZA,SIAYA,WAGAI,N.WEST GEM,SIREMBE,3,MOH,0.095027,34.4
21,KIMAETI DISP,3118,WESTERN,BUNGOMA,BUMULA,KIMAETI,MYANGA/SYOMBE,4,MOH,0.603723,34.4069
19,NJEJRA HEALTH CENTRE,0,NYANZA,SIAYA,WAGAI,WEST GEM,DIENYA W,3,MOH,-0.001698,34.4071
1,ABIDHA HC,1343,NYANZA,BONDO,RARIEDA,EAST ASEMBO,OMIA MWALO,3,MOH,-0.15902,34.41064
20,NYAGOND HEALTH CENTRE,0,NYANZA,SIAYA,WAGAI,N.EAST GEM,WAGAI,3,MOH,0.050708,34.4149
56,TAMLEGA DISP,3122,WESTERN,BUNGOMA,MALAKISI,MALAKISI,TAMULEGA,4,MOH,0.713581,34.417107
41,OSOGO DISP,3574,NYANZA,MIGORI,URIRI,WEST KANYAMKAGO,KAJULU I,4,MOH,-0.977739,34.4206
35,MALAKISI HEALTH CENTRE,2231,WESTERN,BUNGOMA,MALAKISI,MALAKISI,MWALIE,3,MOH,0.682338,34.420863
9,KALUO DISP,2465,NYANZA,SIAYA,UGUNJA,SOUTH UGENYA,YIRO EAST,4,MOH,0.1609,34.4214
6,GOGO HEALTH CENTRE,0,NYANZA,SIAYA,YALA,NORTH GEM,LUNDHA,3,MOH,0.093434,34.4248
22,OBER KABUOCH DISP,4361,NYANZA,HOMA BAY,RIANA,WEST KABUOCH,KACHIENG WEST,4,MOH,-0.75021,34.4258
13,MALANGA HEALTH CENTRE,1349,NYANZA,SIAYA,YALA,NORTH GEM,MALANGASIAYA,3,MOH,0.1334,34.4295
2,CHEPKUBE DISP,4386,WESTERN,MOUNT ELGON,CHEPTAIS,CHEPKUBE,CHEPKUBE,4,MOH,0.839649,34.4353
1,BUGUMBE HEALTH CENTRE,1390,NYANZA,KURIA,MABERA,TAGARE,MABERA,3,MOH,-1.16137,34.4367
26,OPICHE HEALTH CENTRE,0,NYANZA,SIAYA,YALA,NORTH GEM,MALANGASIAYA,3,MOH,0.120028,34.4372
4,BUMULA HEALTH CENTRE,2476,WESTERN,BUNGOMA,BUMULA,BUMULA,LUNAO,3,MOH,0.572483,34.4379
29,KOROSIANDET DISP,3121,WESTERN,BUNGOMA,MALAKISI,NAMUBILA,MACHAKHA,4,MOH,0.744456,34.4391
43,URENGA DISP,1364,NYANZA,SIAYA,WAGAI,N.EAST GEM,URIRI,4,MOH,0.0161,34.4397
22,NDURU KADERO DISP,85,NYANZA,KISUMU,KOMBEWA,S.C. SEME,WEST KANYADWERA,4,MOH,-0.076558,34.4409
1,AKADO DISP,0,NYANZA,KISUMU,KOMBEWA,S.W. SEME,WEST KADINGA,4,MOH,-0.141642,34.4409
31,RERU DISP,3568,NYANZA,KISUMU,KOMBEWA,WEST SEME,WEST RERU,4,MOH,-0.095945,34.4436
31,RERA HEALTH CENTRE,1359,NYANZA,SIAYA,WAGAI,SOUTH GEM,RERA,3,MOH,-0.005207,34.448
5,BUKAYA HEALTH CENTRE,3273,WESTERN,BUTERE/MUMIAS,MUMIAS,ETENJE,ESHIKALAME,3,MOH,0.26004,34.449418
24,MANYALA SUB-DISTRICT HOSPITAL,2325,WESTERN,BUTERE/MUMIAS,BUTERE,MANYALA,ESHIENJERA,1,MOH,0.160402,34.45262
23,NYANGWE HEALTH CENTRE,0,NYANZA,SIAYA,YALA,CENTRAL GEM,KAGILO,3,MOH,0.073523,34.454
10,KODIAGA HEALTH CENTRE,1291,NYANZA,SIAYA,YALA,NORTH GEM,MALIERA,3,MOH,0.106619,34.4566
5,HOMA BAY DISTRICT HOSPITAL,1470,NYANZA,HOMA BAY,ASEGO,HOMA BAY TOWN,TOWNHOMABAY,1,MOH,-0.52474,34.4599
3,CHEPTAIS HEALTH CENTRE,2224,WESTERN,MOUNT ELGON,CHEPTAIS,CHEPTAIS,NGACHI,3,MOH,0.818449,34.4608
9,HOMA LIME H C,1441,NYANZA,RACHUONYO,WEST KARACHUONYO,KANAM A,KOWOUR,3,MOH,-0.414279,34.462036
27,PALA H C,1426,NYANZA,HOMA BAY,RIANA,SOUTH KABUOCH,KAGURIA KAMENYA,3,MOH,-0.82374,34.464
7,ISIBANIA RURAL DEMONSTRATION CENTRE,1473,NYANZA,KURIA,MABERA,BUGEMBE SOUTH,ISIBANIA,3,MOH,-1.202746,34.464607
25,OMBO KACHIENG DISP,3417,NYANZA,HOMA BAY,RIANA,WEST KABUOCH,KACHIENG EAST,4,MOH,-0.73978,34.4653
1,AKALA DISP,1341,NYANZA,SIAYA,WAGAI,SOUTH GEM,KAMBARE,4,MOH,-0.0349,34.4672
29,MIGORI DISTRICT HOSPITAL,1451,NYANZA,MIGORI,SUBA EAST,SUNA RAGANA,MARINDI,1,MOH,-1.06321,34.4694
20,NYANGOGE DISP,1417,NYANZA,KURIA,MASABA,BUGEMBE EAST,NYANGOGEKURIA,4,MOH,-1.16047,34.4726
26,MUHAKA DISP,3829,WESTERN,BUTERE/MUMIAS,KHWISERO,WEST KISA,MUHAKA,4,MOH,0.128712,34.476095
25,MATUNGU H C,2327,WESTERN,BUTERE/MUMIAS,MATUNGU,MATUNGU,MAYONI,3,MOH,0.387188,34.476283
18,KHWISERO H C,2318,WESTERN,BUTERE/MUMIAS,KHWISERO,WEST KISA,MUHAKA,3,MOH,0.11,34.48
10,EMUHAKA DISP,6140,WESTERN,BUTERE/MUMIAS,KHWISERO,WEST KISA,MUHAKA,4,MOH,0.133411,34.4801
29,MUMIAS DISP,2288,WESTERN,BUTERE/MUMIAS,MUMIAS,NABONGO,MATAWA,4,MOH,0.334477,34.48058
25,OGERO HEALTH CENTRE,0,NYANZA,SIAYA,WAGAI,SOUTH GEM,GOMBE,3,MOH,0.005518,34.4828
3,BULONDO DISP,2211,WESTERN,BUNGOMA,BUMULA,S.BUKUSU,LUMBOKA,4,MOH,0.497461,34.4841
23,OBERA HEALTH CENTRE,0,NYANZA,HOMA BAY,RIANA,WEST KABUOCH,KACHIENG EAST,3,MOH,-0.69451,34.4844
24,NYAWARA HEALTH CENTRE,1386,NYANZA,SIAYA,YALA,CENTRAL GEM,NYAWARA,3,MOH,0.09451,34.4888
46,RABONDO DISP,1427,NYANZA,MIGORI,AWENDO,WEST SAKWA,RABONDO,4,MOH,-0.8424,34.4925
7,BUTERE DISTRICT HOSPITAL,2306,WESTERN,BUTERE/MUMIAS,BUTERE,TOWNSHIP,SHIREMBE,1,MOH,0.208536,34.493471
0,TULKUT DISP,0,WESTERN,MOUNT ELGON,CHEPTAIS,SASURI,SASURI,4,MOH,0.815401,34.494183
28,RAMULA HEALTH CENTRE,1387,NYANZA,SIAYA,WAGAI,SOUTH GEM,GOMBE,3,MOH,-0.0175,34.4988
7,CHEBUKUTUMI DISP,0,WESTERN,BUNGOMA,SIRISIA,SIRISIA,S.KULISIRU,4,MOH,0.70983,34.4991
41,SHIKUNGA DISP,3827,WESTERN,BUTERE/MUMIAS,BUTERE,TOWNSHIP,SHIROTSA,4,MOH,0.21743,34.499125
33,NYAKURU DISP,1414,NYANZA,MIGORI,AWENDO,NORTH SAKWA,KAKMASIA,4,MOH,-0.8,34.5
60,URIRI SUB-HEALTH CENTRE,1434,NYANZA,MIGORI,URIRI,CENTRAL KANYAMKAGO,KAWERE IIB,3,MOH,-0.942382,34.5051
15,KOMBEWA RHTC,1338,NYANZA,KISUMU,KOMBEWA,S.C. SEME,UPPER KOMBEWA,3,MOH,-0.097329,34.5053
14,MARINDI DISP,1404,NYANZA,HOMA BAY,ASEGO,EAST KANYADA,KALANYA KANYANGO,4,MOH,-0.663833,34.5061
5,BODI DISP,1275,NYANZA,KISUMU,KOMBEWA,S.W. SEME,SOUTH ALUNGO,4,MOH,-0.155489,34.5087
23,KWOYO KODALO HEALTH CENTRE,3856,NYANZA,MIGORI,AWENDO,NORTH SAKWA,KAKMASIA,3,MOH,-0.776614,34.5088
50,SIRISIA HEALTH CENTRE,2235,WESTERN,BUNGOMA,SIRISIA,SIRISIA,N. KULISIRU,3,MOH,0.753888,34.509054
17,KANYAMGONY DISP,0,NYANZA,MIGORI,AWENDO,WEST SAKWA,KANYAMGONY,4,MOH,-0.834326,34.5118
10,MAGINA H C,1401,NYANZA,HOMA BAY,RIANA,CENTRAL KABUOCH,KAWERE/KAWUOR,3,MOH,-0.69035,34.5158
4,CHESIKAKI DISP,3832,WESTERN,MOUNT ELGON,CHEPTAIS,CHESIKAK,CHESIKAK,4,MOH,0.799793,34.5159
44,OYANI DISP,1424,NYANZA,MIGORI,URIRI,SOUTH KANYAMKAGO,BWARE,4,MOH,-1.00547,34.5168
19,NYAMETABURO DISP,4278,NYANZA,KURIA,KEHANCHA,BUKIRA WEST,NYAMATABURO,4,MOH,-1.234433,34.517256
7,KANYAMKAGO OBER DISP,3331,NYANZA,HOMA BAY,RIANA,CENTRAL KABUOCH,KAWERE/KAWUOR,4,MOH,-0.69557,34.51781
3,AWENDO HEALTH CENTRE,1440,NYANZA,MIGORI,AWENDO,CENTRAL SAKWA,KOMBOK,3,MOH,-0.897013,34.5238
13,KABULA DISP,0,WESTERN,BUNGOMA,BUMULA,KABULA,EAST MATEKA,4,MOH,0.474377,34.5257
19,NYAGORO H C,1412,NYANZA,HOMA BAY,RANGWE,EAST KOCHIA,KORAYO,3,MOH,-0.507608,34.5293
11,KANDIEGE H C,1396,NYANZA,RACHUONYO,WEST KARACHUONYO,KOYUGI,KAMUGA 2,3,MOH,-0.45638,34.5297
8,GOT OYARO DISP,1393,NYANZA,RACHUONYO,WEST KARACHUONYO,KOKOTH KATENG,KAKOKO,4,MOH,-0.38942,34.532
14,MASABA HEALTH CENTRE,1405,NYANZA,KURIA,MASABA,BUGEMBE NORTH,MASABAKURIA,3,MOH,-1.11731,34.5322
7,DEDE DISP,1392,NYANZA,MIGORI,AWENDO,WEST SAKWA,KANYAMGONY,4,MOH,-0.814374,34.5331
33,ROTA DISP,1309,NYANZA,KISUMU,MASENO,OTWENYA,NORTH RATA,4,MOH,-0.033521,34.5332
14,MARENYO DISP,1351,NYANZA,SIAYA,YALA,YALA TOWNSHIP,MARENYO,4,MOH,0.062,34.5345
21,LUSHEYA DISP,3657,WESTERN,BUTERE/MUMIAS,MUMIAS,SHIBINGA,LUSHEYA,4,MOH,0.304527,34.536064
44,YALA SUB-DISTRICT HOSPITAL,1384,NYANZA,SIAYA,YALA,YALA TOWNSHIP,SAURI,1,MOH,0.101019,34.5375
16,MIDHINE DISP,3813,NYANZA,SIAYA,YALA,YALA TOWNSHIP,MARENYO,4,MOH,0.0589,34.5427
16,KANYAGWALA DISP,0,NYANZA,MIGORI,AWENDO,CENTRAL SAKWA,KANYAGWALA,4,MOH,-0.849252,34.5437
26,MARIWA HEALTH CENTRE,1448,NYANZA,MIGORI,AWENDO,SOUTH SAKWA,WAUNDHA,3,MOH,-0.958705,34.5469
16,KHALABA HEALTH CENTRE,3274,WESTERN,BUTERE/MUMIAS,MATUNGU,MATUNGU,KHALABABM,3,MOH,0.427352,34.548307
5,BUNGOMA DISTRICT HOSPITAL,2237,WESTERN,BUNGOMA,KANDUYI,TOWNSHIP,TOWNSHIPKANDUYI,1,MOH,0.572,34.557
18,KAVUJAI DISP,0,WESTERN,BUNGOMA,CENTRAL,KABUCHAI,KISIWA,4,MOH,0.643617,34.5576
11,KOMBE DISP,4277,NYANZA,KURIA,MASABA,KOMBE,KOMBEKURIA,4,MOH,-1.10582,34.558607
12,KABUCHAI HEALTH CENTRE,2226,WESTERN,BUNGOMA,CENTRAL,KABUCHAI,KISIWA,3,MOH,0.646573,34.560124
6,BUNGOMA GK PRISON DISP,4237,WESTERN,BUNGOMA,KANDUYI,TOWNSHIP,KHALABABUNGOMA,4,MOH,0.560941,34.5626
